thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|jumlah2|paguphln|pagurmp|pagurkp|kdblokir|blokirphln|blokirrmp|blokirrkp|rphblokir|kdcopy|kdabt|kdsbu|volsbk|volrkakl|blnkontrak|nokontrak|tgkontrak|nilkontrak|januari|pebruari|maret|april|mei|juni|juli|agustus|september|oktober|nopember|desember|jmltunda|kdluncuran|jmlabt|norev|kdubah|kurs|indexjm|kdib
2026|01|527581|015|08|CD|6212|BMB|06|53|2|001|100| A|524111|002|A|0|0| |0||||1|Transport|2|ORG|1|FREK|0||0||2.0|OK|232500|465000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|465000|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|BMB|06|53|2|001|100| A|524111|002|A|0|0| |0||||2|Akomodasi|2|ORG|1|FREK|2|HARI|0||4.0|OH|596750|2387000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|2387000|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|BMB|06|53|2|001|100| A|524111|002|A|0|0| |0||||3|Uang Harian|2|ORG|1|FREK|3|HARI|0||6.0|OH|223167|1339000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|1339000|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|BMB|06|53|2|001|100| A|524113|002|A|0|0| |0||||1|Transport Lokal|1|FREK|2|ORG|0||0||2.0|OK|131500|263000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|263000|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| A|521211|002|A|0|0| |0||||1|KDM - Konsumsi Makan Peserta Satker|38|SATKR|1|ORG|2|MODUL|1|FREK|76.0|OK|43855|3332000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|766646|766646|766646|766646|265416|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| A|521211|002|A|0|0| |0||||2|KDM - Konsumsi Snack Peserta Satker|38|SATKR|1|ORG|2|MODUL|1|FREK|76.0|OK|18066|1373000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|315908|315908|315908|315908|109368|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| A|521211|002|A|0|0| |0||||3|KDM - Konsumsi Makan Panitia|4|ORG|2|MODUL|0||0||8.0|OK|43875|351000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|80760|80760|80760|80760|27960|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| A|521211|002|A|0|0| |0||||4|KDM - Konsumsi Snack Panitia|4|ORG|2|MODUL|0||0||8.0|OK|18000|144000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|33132|33132|33132|33132|11472|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| B|521211|002|A|0|0| |0||||1|KDM - Konsumsi Makan Peserta Pemda|3|PEMDA|6|BIDG|1|ORG|2|FREK|36.0|OK|43862|1579000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|363305|363305|363305|363305|125780|0|0|0|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| B|521211|002|A|0|0| |0||||2|KDM - Konsumsi Snack Peserta Pemda|3|PEMDA|6|BIDG|1|ORG|2|FREK|36.0|OK|18056|650000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|149556|149556|149556|149556|51776|0|0|0|0||0|||1|0|00
